Mission ID,Mission Name,Launch Date,Target Type,Target Name,Mission Type,Distance from Earth (light-years),Mission Duration (years),Mission Cost (billion USD),Scientific Yield (points),Crew Size,Mission Success (%),Fuel Consumption (tons),Payload Weight (tons),Launch Vehicle
MSN-0166,Mission-166,01-03-2028,Moon,Betelgeuse,Research,8.91,8.1,524.47,79.8,90,100,852.13,95.72,SLS
MSN-0167,Mission-167,08-03-2028,Star,Betelgeuse,Research,11.1,9.3,327.34,34.4,62,93.8,1187.94,60.34,Starship
MSN-0168,Mission-168,15-03-2028,Asteroid,Europa,Exploration,9.4,8.3,405.66,54.7,29,100,863.48,73.14,Falcon Heavy
MSN-0169,Mission-169,22-03-2028,Planet,Europa,Colonization,39,21.8,168.75,35.6,74,90.5,3981.48,32.22,SLS
MSN-0170,Mission-170,29-03-2028,Star,Betelgeuse,Mining,17.57,10.2,248.49,22,17,88.5,1738.37,39.92,SLS
MSN-0171,Mission-171,05-04-2028,Planet,Europa,Colonization,2.99,4.2,170.55,66.7,66,92.3,286.87,24.46,Ariane 6
MSN-0172,Mission-172,12-04-2028,Planet,Betelgeuse,Colonization,48.46,25.7,62.02,14.9,6,78.6,4751.5,10.6,SLS
MSN-0173,Mission-173,19-04-2028,Moon,Betelgeuse,Colonization,44.2,26.9,109.27,77.4,58,77.3,4397.26,18.72,Starship
MSN-0174,Mission-174,26-04-2028,Star,Proxima b,Exploration,46.39,26.1,405.66,38.6,69,100,4587.01,79.95,Falcon Heavy
MSN-0175,Mission-175,03-05-2028,Star,Mars,Research,49.75,27.1,354.71,10,28,100,4944.62,68.08,SLS
MSN-0176,Mission-176,10-05-2028,Moon,Betelgeuse,Colonization,8.78,8.5,316.73,56,62,100,871.13,55.15,Ariane 6
MSN-0177,Mission-177,17-05-2028,Asteroid,Ceres,Exploration,19.87,12.9,259.69,14.2,41,96,2034.89,48.03,Falcon Heavy
MSN-0178,Mission-178,24-05-2028,Planet,Titan,Colonization,37.94,21.2,466.93,34.9,69,100,3804.38,92.32,SLS
MSN-0179,Mission-179,31-05-2028,Exoplanet,Io,Colonization,34.83,21.7,58.77,73.6,82,76.3,3498.38,8.2,Ariane 6
MSN-0180,Mission-180,07-06-2028,Planet,Mars,Exploration,7.78,8.4,192.99,15.6,90,86.7,723.22,28.78,SLS
MSN-0181,Mission-181,14-06-2028,Planet,Mars,Research,40.81,24.1,210.05,85.5,84,80.5,4036.96,35.64,Falcon Heavy
MSN-0182,Mission-182,21-06-2028,Asteroid,Mars,Research,11.3,6.8,413.69,10.3,41,100,1219.94,78.46,Falcon Heavy
MSN-0183,Mission-183,28-06-2028,Planet,Proxima b,Mining,11.27,8.9,505.46,32.2,49,100,1090.24,99.26,Falcon Heavy
MSN-0184,Mission-184,05-07-2028,Moon,Betelgeuse,Exploration,26.9,17.5,173.47,76.7,91,89.3,2772.81,24.83,Starship
MSN-0185,Mission-185,12-07-2028,Moon,Proxima b,Mining,29.69,16.4,479.02,38.5,49,100,2956.85,87.56,SLS
MSN-0186,Mission-186,19-07-2028,Star,Betelgeuse,Mining,29.05,16.4,430.94,19.2,76,100,2905.11,83.23,Starship
MSN-0187,Mission-187,26-07-2028,Exoplanet,Proxima b,Mining,4.67,6.9,120.63,42.4,71,81.1,520.52,23.24,Falcon Heavy
MSN-0188,Mission-188,02-08-2028,Planet,Proxima b,Research,43.89,23,206.42,34.3,3,82.6,4452.59,40.53,Ariane 6
MSN-0189,Mission-189,09-08-2028,Planet,Titan,Exploration,13.35,10.7,214.7,85.8,10,100,1329.46,41.56,SLS
MSN-0190,Mission-190,16-08-2028,Asteroid,Ceres,Mining,6.56,6.2,518.66,38.2,98,100,636.59,97.84,Starship
MSN-0191,Mission-191,23-08-2028,Moon,Proxima b,Exploration,44.45,25,141.06,81,89,78.9,4442.2,18.91,SLS
MSN-0192,Mission-192,30-08-2028,Exoplanet,Titan,Exploration,47.79,24.9,425.94,90.3,35,100,4795.9,80.12,Ariane 6
MSN-0193,Mission-193,06-09-2028,Star,Europa,Research,43.12,25.8,212.75,49,80,97.7,4356.57,34.09,Starship
MSN-0194,Mission-194,13-09-2028,Moon,Ceres,Mining,40.49,22.7,389.65,91.9,2,100,4049.21,73.36,Falcon Heavy
MSN-0195,Mission-195,20-09-2028,Star,Proxima b,Mining,32.8,19.6,248.62,44,24,88.7,3310.94,42.58,Starship
MSN-0196,Mission-196,27-09-2028,Asteroid,Io,Exploration,27.59,17.5,328.16,96.8,74,100,2840.92,58.26,SLS
MSN-0197,Mission-197,04-10-2028,Asteroid,Mars,Colonization,4.44,6,426.67,18,38,100,463.07,83.43,SLS
MSN-0198,Mission-198,11-10-2028,Planet,Europa,Research,20.48,15.1,421.75,71.8,22,100,2063.58,80.61,SLS
MSN-0199,Mission-199,18-10-2028,Exoplanet,Europa,Research,18.7,12.5,466.13,54.4,26,100,1794.05,86.78,SLS
MSN-0200,Mission-200,25-10-2028,Star,Titan,Research,13.06,9.1,38.96,44.9,43,85.9,1174.46,6.9,Falcon Heavy
MSN-0201,Mission-201,01-11-2028,Moon,Europa,Research,36.2,22.9,366.27,66.9,55,100,3639.42,69.51,Starship
MSN-0202,Mission-202,08-11-2028,Asteroid,Ceres,Mining,24.84,16,101.51,73.3,39,76.7,2479.26,14.86,Falcon Heavy
MSN-0203,Mission-203,15-11-2028,Planet,Proxima b,Mining,4.14,4.3,260.67,10.4,91,100,388.26,42.17,Falcon Heavy
MSN-0204,Mission-204,22-11-2028,Planet,Proxima b,Colonization,11.09,7.1,300.8,25,29,100,1121.18,55.31,Falcon Heavy
MSN-0205,Mission-205,29-11-2028,Star,Io,Research,34.19,21.5,245.34,74.2,20,97,3415.98,40.87,SLS
MSN-0206,Mission-206,06-12-2028,Asteroid,Mars,Research,3.9,4.4,284.37,70,91,90,446.39,52.44,SLS
MSN-0207,Mission-207,13-12-2028,Exoplanet,Titan,Exploration,42.58,24.9,538.32,96.9,41,100,4262.31,99.66,SLS
MSN-0208,Mission-208,20-12-2028,Asteroid,Mars,Mining,24.81,15.3,102.13,78.5,54,76.1,2443.65,14.39,Starship
MSN-0209,Mission-209,27-12-2028,Star,Europa,Research,24.08,13.8,383.79,95.6,20,100,2457.51,67.87,Ariane 6
MSN-0210,Mission-210,03-01-2029,Star,Io,Colonization,29.66,18.2,222.14,73.2,19,97.6,2955.14,40.2,SLS
MSN-0211,Mission-211,10-01-2029,Asteroid,Mars,Colonization,41.25,21.9,101.46,36.8,84,69.8,4151.33,14.17,Starship
MSN-0212,Mission-212,17-01-2029,Star,Ceres,Mining,17.46,11.4,115.42,19.5,99,81.4,1722.13,16.71,SLS
MSN-0213,Mission-213,24-01-2029,Asteroid,Proxima b,Colonization,33.93,20.2,496.35,80.4,66,100,3360.51,94.98,SLS
MSN-0214,Mission-214,31-01-2029,Moon,Europa,Colonization,28.33,16.9,448.47,68,30,100,2837.21,88.08,Falcon Heavy
MSN-0215,Mission-215,07-02-2029,Asteroid,Io,Mining,13.42,10.7,459.58,14.3,53,100,1342.64,90.8,Falcon Heavy
MSN-0216,Mission-216,14-02-2029,Asteroid,Mars,Research,43.94,26.3,497.62,42.4,34,100,4417.99,99.16,Falcon Heavy
MSN-0217,Mission-217,21-02-2029,Star,Titan,Research,39.89,24,151.9,96.1,22,86.9,3975.57,21.62,Starship
MSN-0218,Mission-218,28-02-2029,Star,Ceres,Colonization,32.96,17.6,193.54,55,67,88,3204.18,36.19,Ariane 6
MSN-0219,Mission-219,07-03-2029,Planet,Ceres,Colonization,42.54,23,347.61,48.9,6,98.7,4232.36,67.25,Ariane 6
MSN-0220,Mission-220,14-03-2029,Planet,Mars,Research,43.38,24.8,281.57,51.2,79,92.5,4377.69,48.9,Starship
MSN-0221,Mission-221,21-03-2029,Moon,Proxima b,Mining,35.45,22.5,228.78,28.8,27,96.4,3530.13,42.42,SLS
MSN-0222,Mission-222,28-03-2029,Planet,Mars,Colonization,41.87,25.3,207.9,43.2,10,90.9,4174.68,36.42,Starship
MSN-0223,Mission-223,04-04-2029,Asteroid,Europa,Exploration,34.9,21.8,307.86,43.3,73,100,3539.32,59.78,SLS
MSN-0224,Mission-224,11-04-2029,Star,Mars,Mining,34.04,19.2,337.93,14.7,97,100,3368.4,57.98,Starship
MSN-0225,Mission-225,18-04-2029,Planet,Ceres,Colonization,30.97,18.2,127.63,79.1,96,81.2,3019.86,16.98,Starship
MSN-0226,Mission-226,25-04-2029,Planet,Io,Colonization,37.66,21.7,281.83,47.5,48,100,3757.97,47.7,Starship
MSN-0227,Mission-227,02-05-2029,Moon,Mars,Exploration,8.01,5.6,299.88,84,70,98.3,776.79,55.79,Ariane 6
MSN-0228,Mission-228,09-05-2029,Moon,Proxima b,Exploration,44.06,23.2,325.66,86.5,59,95.9,4357.69,57.46,Falcon Heavy
MSN-0229,Mission-229,16-05-2029,Asteroid,Io,Research,43.6,26.6,117.05,29.1,59,85.4,4351.23,21.8,Starship
MSN-0230,Mission-230,23-05-2029,Star,Titan,Mining,1.56,2.7,373.82,69.2,2,100,180.58,74.48,Ariane 6
MSN-0231,Mission-231,30-05-2029,Moon,Betelgeuse,Mining,41.31,22.6,19.43,52.5,29,72.1,4130.54,3.49,Falcon Heavy
MSN-0232,Mission-232,06-06-2029,Planet,Mars,Research,6.53,4.6,210.39,89.2,68,99.1,668.35,36.13,Falcon Heavy
MSN-0233,Mission-233,13-06-2029,Star,Proxima b,Mining,16.82,13.1,414.51,29.4,65,100,1772.67,78.24,Starship
MSN-0234,Mission-234,20-06-2029,Star,Io,Mining,37.2,21.9,310.53,71,83,100,3702.86,56.83,SLS
MSN-0235,Mission-235,27-06-2029,Planet,Proxima b,Mining,8.12,7.7,135.67,64.7,26,77.7,825.92,26.86,SLS
MSN-0236,Mission-236,04-07-2029,Moon,Titan,Mining,40.92,25.1,370.71,36.6,89,100,4066.54,69.8,SLS
MSN-0237,Mission-237,11-07-2029,Planet,Ceres,Mining,41.62,23.2,322.04,22.3,10,100,4119.68,57.17,Starship
MSN-0238,Mission-238,18-07-2029,Star,Proxima b,Exploration,25.42,16.2,421.84,68.6,53,100,2512.75,79.83,SLS
MSN-0239,Mission-239,25-07-2029,Exoplanet,Io,Mining,0.42,1.4,405.73,76.5,79,100,18.06,73.77,Ariane 6
MSN-0240,Mission-240,01-08-2029,Exoplanet,Proxima b,Exploration,14.42,9,319.42,38.4,59,100,1459.97,61.4,Ariane 6
MSN-0241,Mission-241,08-08-2029,Asteroid,Proxima b,Mining,30.88,19.8,287.49,68,22,99,3205.45,49.33,Ariane 6
MSN-0242,Mission-242,15-08-2029,Planet,Proxima b,Research,49.06,28.6,100.78,45.6,51,85.3,4870.2,14.19,Ariane 6
MSN-0243,Mission-243,22-08-2029,Planet,Europa,Colonization,31.63,18.2,145.68,74.2,48,86.2,3142.17,26.87,Falcon Heavy
MSN-0244,Mission-244,29-08-2029,Asteroid,Europa,Exploration,13.06,9,225.05,27.9,21,99.9,1302.84,42.49,Ariane 6
MSN-0245,Mission-245,05-09-2029,Asteroid,Ceres,Mining,31.74,19,333.42,90.1,22,98.4,3193.79,60.33,SLS
MSN-0246,Mission-246,12-09-2029,Asteroid,Mars,Research,27.05,14.5,300.97,35.9,98,100,2718.18,51.86,Starship
MSN-0247,Mission-247,19-09-2029,Star,Proxima b,Colonization,39.01,21.5,169.02,43.1,30,87.3,3965.2,29.53,SLS
MSN-0248,Mission-248,26-09-2029,Planet,Titan,Exploration,5.44,4.6,21.86,15.2,25,66.8,422.68,1.64,Ariane 6
MSN-0249,Mission-249,03-10-2029,Star,Mars,Colonization,38.08,21,294.13,20,28,100,3688.65,50.13,Falcon Heavy
MSN-0250,Mission-250,10-10-2029,Asteroid,Titan,Research,27.11,17.8,180.19,56.4,65,99.6,2686.21,29.28,Ariane 6
MSN-0251,Mission-251,17-10-2029,Planet,Mars,Exploration,48.15,26.2,391.61,34.1,45,100,4869.87,73.73,Starship
MSN-0252,Mission-252,24-10-2029,Star,Ceres,Colonization,17.16,10.3,41.76,85.2,68,76.7,1637.72,3.37,SLS
MSN-0253,Mission-253,31-10-2029,Star,Proxima b,Mining,31.67,18.9,305.51,11.3,7,100,3016.62,58.9,Starship
MSN-0254,Mission-254,07-11-2029,Asteroid,Proxima b,Exploration,46.61,27.8,502.76,44.1,49,100,4689.56,94.21,Starship
MSN-0255,Mission-255,14-11-2029,Planet,Betelgeuse,Colonization,5.22,4.6,109.93,40.4,9,71.9,534.18,18.27,Starship
MSN-0256,Mission-256,21-11-2029,Asteroid,Titan,Research,46.87,24.7,288.24,11.7,36,95.3,4632.49,47.69,SLS
MSN-0257,Mission-257,28-11-2029,Planet,Mars,Research,34.43,19.6,74.78,21.2,83,70.5,3393.72,10.05,Ariane 6
MSN-0258,Mission-258,05-12-2029,Exoplanet,Mars,Exploration,3.49,5.7,339.51,47.2,1,100,300.51,62.94,Starship
MSN-0259,Mission-259,12-12-2029,Moon,Europa,Colonization,15.12,10.8,306.23,54.4,10,100,1517.53,55.5,SLS
MSN-0260,Mission-260,19-12-2029,Moon,Betelgeuse,Exploration,35.44,22,252.57,46.4,36,93.5,3512.68,41.33,Falcon Heavy
MSN-0261,Mission-261,26-12-2029,Moon,Io,Exploration,3.46,6.6,303.34,57.8,73,100,370.7,52.62,SLS
MSN-0262,Mission-262,02-01-2030,Asteroid,Io,Colonization,29.15,18.7,471.91,63.6,46,100,2772.27,89.76,Falcon Heavy
MSN-0263,Mission-263,09-01-2030,Exoplanet,Europa,Colonization,17.36,12.1,138.37,10.9,32,80,1693.16,20.43,SLS
MSN-0264,Mission-264,16-01-2030,Planet,Europa,Mining,31.08,18.5,45.88,51.8,32,74.9,3051.7,3.23,Ariane 6
MSN-0265,Mission-265,23-01-2030,Star,Europa,Colonization,2.38,2.4,456.63,96.7,6,100,225.18,86.3,Starship
MSN-0266,Mission-266,30-01-2030,Planet,Titan,Research,43.59,26.7,301.07,56.7,48,100,4332.1,58.13,Ariane 6
MSN-0267,Mission-267,06-02-2030,Star,Titan,Exploration,48.68,26.9,469.63,71,38,100,4907.89,89.18,SLS
MSN-0268,Mission-268,13-02-2030,Planet,Ceres,Exploration,48.45,25.8,313.55,38.1,17,100,4752.03,60.1,Starship
MSN-0269,Mission-269,20-02-2030,Exoplanet,Ceres,Research,37.51,22.4,451.88,79.7,74,100,3753.27,81.21,Falcon Heavy
MSN-0270,Mission-270,27-02-2030,Star,Europa,Colonization,6.59,5.4,235.13,79.6,27,94.5,686.92,43.54,SLS
MSN-0271,Mission-271,06-03-2030,Asteroid,Betelgeuse,Research,37.94,22.3,423.86,56.9,54,100,3886.83,75.24,Starship
MSN-0272,Mission-272,13-03-2030,Planet,Mars,Research,1.33,4,484.07,97.8,50,100,108.91,91.39,Falcon Heavy
MSN-0273,Mission-273,20-03-2030,Planet,Titan,Mining,1.2,3.4,320.15,21.3,35,96.6,136.22,57.64,Falcon Heavy
MSN-0274,Mission-274,27-03-2030,Star,Betelgeuse,Research,16.25,12.5,122.1,11.5,85,82.6,1534.81,18.9,Ariane 6
MSN-0275,Mission-275,03-04-2030,Asteroid,Proxima b,Exploration,24.48,14.3,145.39,79.3,25,82.1,2328.4,27.61,SLS
MSN-0276,Mission-276,10-04-2030,Asteroid,Titan,Research,38.54,22.1,122.77,82.6,28,95,3896.24,20.67,Falcon Heavy
MSN-0277,Mission-277,17-04-2030,Exoplanet,Titan,Exploration,34.2,20.3,133.06,20.8,15,83.1,3419.72,25.44,Starship
MSN-0278,Mission-278,24-04-2030,Asteroid,Ceres,Exploration,22.35,14.8,188.22,33.9,4,81.8,2293.93,31.34,Falcon Heavy
MSN-0279,Mission-279,01-05-2030,Asteroid,Mars,Exploration,13.75,11,302.7,11.6,93,99.6,1306.33,55.96,Falcon Heavy
MSN-0280,Mission-280,08-05-2030,Asteroid,Mars,Colonization,49.86,27.5,335.17,36.4,73,100,5012,59.21,Ariane 6
MSN-0281,Mission-281,15-05-2030,Moon,Io,Mining,21.37,14.3,227.9,79.6,27,100,2230.44,43.22,Ariane 6
MSN-0282,Mission-282,22-05-2030,Exoplanet,Io,Exploration,22.62,12.9,318.71,56.6,26,98.9,2282.99,61.93,Starship
MSN-0283,Mission-283,29-05-2030,Planet,Io,Exploration,8.26,8.9,66.31,41.3,19,68.7,839.83,9.08,Ariane 6
MSN-0284,Mission-284,05-06-2030,Star,Io,Colonization,39.76,22.4,94.85,43.5,92,83.6,3976.43,9.69,Falcon Heavy
MSN-0285,Mission-285,12-06-2030,Planet,Proxima b,Exploration,34.71,21.3,125.86,10.1,17,75.7,3392.46,18.01,Falcon Heavy
MSN-0286,Mission-286,19-06-2030,Exoplanet,Proxima b,Research,11.12,6.6,282.98,37,43,96.1,1179.78,52.29,Ariane 6
MSN-0287,Mission-287,26-06-2030,Star,Titan,Research,4.21,3.9,137.3,68.2,41,82.4,390.46,22.19,Falcon Heavy
MSN-0288,Mission-288,03-07-2030,Exoplanet,Europa,Mining,34.06,20,150.38,97.7,42,84.7,3431.22,29.05,Falcon Heavy
MSN-0289,Mission-289,10-07-2030,Asteroid,Ceres,Exploration,32.76,20.9,252.39,86.2,50,98.7,3197.85,40.63,Starship
MSN-0290,Mission-290,17-07-2030,Star,Ceres,Colonization,13.74,10,440.5,12.1,84,100,1315.03,81.37,Ariane 6
MSN-0291,Mission-291,24-07-2030,Asteroid,Io,Research,47.55,28.5,26.83,90.9,40,71.3,4826.75,2.37,Falcon Heavy
MSN-0292,Mission-292,31-07-2030,Planet,Titan,Colonization,7.64,6.8,356.15,80.5,39,100,746.63,65.29,Ariane 6
MSN-0293,Mission-293,07-08-2030,Planet,Betelgeuse,Colonization,21.67,13.8,342.46,80.2,23,100,2239.66,67.22,Starship
MSN-0294,Mission-294,14-08-2030,Star,Europa,Research,47.19,25.1,448.68,51.2,96,100,4715.09,80.07,Ariane 6
MSN-0295,Mission-295,21-08-2030,Star,Titan,Colonization,21.04,14.7,476.26,45.8,52,100,2011.91,93.34,Falcon Heavy
MSN-0296,Mission-296,28-08-2030,Exoplanet,Europa,Research,31.96,18,47.7,37.3,47,79,3240.6,2.99,Ariane 6
MSN-0297,Mission-297,04-09-2030,Exoplanet,Europa,Colonization,19.94,14.6,94.13,15.9,63,81.4,1964.51,16.22,Falcon Heavy
MSN-0298,Mission-298,11-09-2030,Asteroid,Europa,Research,13.78,11.5,479.81,30.5,97,100,1412.93,88.73,Falcon Heavy
MSN-0299,Mission-299,18-09-2030,Star,Titan,Exploration,49.2,29.4,271.01,32.2,69,89.2,4921.26,46.39,Falcon Heavy
MSN-0300,Mission-300,25-09-2030,Planet,Io,Mining,20.53,13.3,318.45,53.6,43,100,1975.84,56.89,Starship
MSN-0301,Mission-301,02-10-2030,Exoplanet,Ceres,Research,44.72,26.1,364.31,77.3,48,100,4480.21,66.64,Ariane 6
MSN-0302,Mission-302,09-10-2030,Exoplanet,Ceres,Research,11.57,9.9,385.88,52.6,34,100,1266.81,68.23,Starship
MSN-0303,Mission-303,16-10-2030,Planet,Io,Mining,10.73,6.9,471.05,15.2,40,100,1097.65,93.24,Ariane 6
MSN-0304,Mission-304,23-10-2030,Exoplanet,Europa,Research,1.65,4.2,515.71,96.2,75,100,162.12,99.7,Starship
MSN-0305,Mission-305,30-10-2030,Asteroid,Betelgeuse,Research,32.62,17.4,374.67,94.8,61,100,3315.77,72.3,SLS
MSN-0306,Mission-306,06-11-2030,Star,Mars,Colonization,18.49,12.2,196.56,80.7,50,92.3,1859.53,29.43,Falcon Heavy
MSN-0307,Mission-307,13-11-2030,Planet,Titan,Mining,43.23,23.2,460.58,99.2,67,100,4333.48,88.1,Falcon Heavy
MSN-0308,Mission-308,20-11-2030,Star,Mars,Exploration,23.71,13.6,66.25,59,62,74.6,2316.42,5.87,Starship
MSN-0309,Mission-309,27-11-2030,Exoplanet,Io,Research,48.41,26.7,153.95,96.6,58,89.9,4852.69,23.88,SLS
MSN-0310,Mission-310,04-12-2030,Exoplanet,Betelgeuse,Mining,9.36,7.4,460.59,16.8,33,100,987.77,89.84,Falcon Heavy
MSN-0311,Mission-311,11-12-2030,Planet,Titan,Colonization,43.44,25.2,144.51,42.9,75,83.8,4302.2,26.36,Ariane 6
MSN-0312,Mission-312,18-12-2030,Asteroid,Io,Exploration,38.85,20.7,128.98,30.3,16,81.8,3956.22,22.84,Starship
MSN-0313,Mission-313,25-12-2030,Moon,Europa,Mining,38.57,22.3,94.5,27.6,82,83.2,3852.41,14.67,Falcon Heavy
MSN-0314,Mission-314,01-01-2031,Planet,Ceres,Exploration,42.25,22.9,442.73,22.7,94,100,4180.61,86.05,Falcon Heavy
MSN-0315,Mission-315,08-01-2031,Moon,Mars,Exploration,38.08,22.3,254.51,66,48,100,3857.88,50.51,Starship
MSN-0316,Mission-316,15-01-2031,Moon,Proxima b,Exploration,31.35,19.2,383.14,80.3,10,100,3120.66,67.81,Starship
MSN-0317,Mission-317,22-01-2031,Asteroid,Proxima b,Research,6.65,6.6,171.66,62,82,89.8,702.98,24.67,Ariane 6
MSN-0318,Mission-318,29-01-2031,Moon,Betelgeuse,Research,1.72,4.8,397.99,23.2,38,100,157.41,76.05,Ariane 6
MSN-0319,Mission-319,05-02-2031,Moon,Europa,Colonization,46.05,25.4,398.79,83,19,100,4602.01,76.24,Falcon Heavy
MSN-0320,Mission-320,12-02-2031,Asteroid,Mars,Colonization,30.87,19.5,161.1,67.2,36,86.1,3111.68,31.95,Falcon Heavy
MSN-0321,Mission-321,19-02-2031,Moon,Europa,Mining,39.85,22.7,242.63,44.9,59,94.9,3999.54,41.66,Starship
MSN-0322,Mission-322,26-02-2031,Moon,Mars,Colonization,24.13,15,150.25,70.7,63,99.6,2313.22,21.76,Falcon Heavy
MSN-0323,Mission-323,05-03-2031,Moon,Betelgeuse,Exploration,5.95,6.6,496.58,33.4,77,100,538.94,97.68,Falcon Heavy
MSN-0324,Mission-324,12-03-2031,Planet,Betelgeuse,Exploration,6.35,4.2,333.37,41.1,46,97.7,681.47,64.91,Starship
MSN-0325,Mission-325,19-03-2031,Planet,Proxima b,Research,34.31,20.8,507.31,92.6,3,100,3424.39,93.52,Falcon Heavy
MSN-0326,Mission-326,26-03-2031,Planet,Europa,Exploration,21.57,14.3,186.4,36.1,74,78.3,2130.81,31.04,Falcon Heavy
MSN-0327,Mission-327,02-04-2031,Asteroid,Titan,Mining,10.11,7.3,395.25,52.3,65,100,943.07,78.41,SLS
MSN-0328,Mission-328,09-04-2031,Exoplanet,Proxima b,Exploration,24.63,13.7,415.6,90.1,91,100,2409.01,76.82,Ariane 6
MSN-0329,Mission-329,16-04-2031,Moon,Europa,Exploration,3.3,3,363.49,73.7,8,100,228.91,69.47,Starship
MSN-0330,Mission-330,23-04-2031,Moon,Proxima b,Mining,29.14,19.3,502.07,15.6,51,100,2908.94,96.6,SLS
MSN-0331,Mission-331,30-04-2031,Asteroid,Titan,Colonization,13.52,10.5,238.52,23.3,81,91.3,1322.08,39.96,Ariane 6
